class_id,class_name,collection_id,collection_description,property_id,property,property_description,filename,used
2,Generator,1,Generator objects,1,Must Report,If the generator must be reported even if it is out-of-service,CAISOIRP21 0130,False
2,Generator,1,Generator objects,5,Formulate Non-convex,Controls when integers are used to enforce clearing of marginal efficiency tranches in order.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,6,Head Effects Method,Method used to account for the effects of storage head on efficiency,CAISOIRP21 0130,False
2,Generator,1,Generator objects,7,Min Down Time Mode,Controls how [Min Down Time] is applied after outages.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,8,Forced Outage Rate Denominator,Denominator for Forced Outage Rate calculations,CAISOIRP21 0130,False
2,Generator,1,Generator objects,9,Repair Time Distribution,"Distribution used to generate repair times (Auto,Constant,Uniform,Triangular,Exponential,Weibull,Lognormal,SEV,LEV)",CAISOIRP21 0130,False
2,Generator,1,Generator objects,10,Fixed Load Method,Method of interpreting zero values of the [Fixed Load] property.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,11,Price Setting,Flag if the generator can set price,CAISOIRP21 0130,False
2,Generator,1,Generator objects,12,Offer Quantity Format,Format for [Offer Quantity] and [Offer Price],CAISOIRP21 0130,False
2,Generator,1,Generator objects,13,Offers Must Clear in Order,Flag to control ordering of clearing of user-defined generator offers.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,14,Unit Commitment Optimality,Unit commitment integerization scheme for the generator.,CAISOIRP21 0130,True
2,Generator,1,Generator objects,16,Include in Rounded Relaxation Merit Order,Flag if Generator is included in the Region merit order for Rounded Relaxation unit commitment.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,17,Start Profile Range,Maximum range for [Start Profile],CAISOIRP21 0130,False
2,Generator,1,Generator objects,18,Expansion Optimality,Expansion planning integerization scheme.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,20,Energy Limit Decomposition Method,Method used to decompose generator energy limits from MT to ST Schedule,CAISOIRP21 0130,False
2,Generator,1,Generator objects,21,Include in Uplift,If this generator's costs are included in the uplift calculations.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,22,Include in Capacity Payments,If this generator receives capacity payments.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,25,End Effects Method,Method used to value or constrain end-of-period heat volumes.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,27,Decomposition Method,Method used to pass the optimal storage trajectory from one simulation phase to the next.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,33,Enforce Bounds,If the storage bounds are enforced.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,34,Is Strategic,If the generator's capacity acts strategically,CAISOIRP21 0130,False
2,Generator,1,Generator objects,35,Transition Type,If the generator can transition between a single generator or to a group of generators.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,242,Project Start Date,"Start date of generation project, for expansion planning.",CAISOIRP21 0130,False
2,Generator,1,Generator objects,243,Commission Date,Date the generator was commissioned for use with [Technical Life],CAISOIRP21 0130,False
2,Generator,1,Generator objects,2,Random Number Seed,Random number seed assigned to the generator for the generation of outages,CAISOIRP21 0130,True
2,Generator,1,Generator objects,4,Max Heat Rate Tranches,Maximum number of tranches in the fuel function piecewise linear approximation.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,15,Rounding Up Threshold,Threshold at which non-integers are rounded up.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,24,Internal Volume Scalar,Storage volume scaling factor used internal to the mathematical program.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,32,Decomposition Bound Penalty,Penalty applied to violation of storage bounds when the decomposition implies possible violations.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,36,Units,Number of installed units,CAISOIRP21 0130,True
2,Generator,1,Generator objects,38,Min Stable Level,Minimum stable generation level,CAISOIRP21 0130,True
2,Generator,1,Generator objects,39,Min Stable Factor,Minimum stable generation level as a proportion of [Max Capacity],CAISOIRP21 0130,False
2,Generator,1,Generator objects,41,Load Point,Load point for use with multi-point heat rate.,CAISOIRP21 0130,True
2,Generator,1,Generator objects,50,Start Cost,Cost of starting a unit,CAISOIRP21 0130,True
2,Generator,1,Generator objects,51,Start Cost Time,Incremental cooling time over which the corresponding Start Cost applies,CAISOIRP21 0130,False
2,Generator,1,Generator objects,52,Run Up Rate,Ramp rate that applies while running the unit up from zero to [Min Stable Level].,CAISOIRP21 0130,False
2,Generator,1,Generator objects,55,Shutdown Cost,Cost of shutting down a unit,CAISOIRP21 0130,False
2,Generator,1,Generator objects,56,Run Down Rate,Ramp rate that applies while running the unit down from [Min Stable Level] to zero.,CAISOIRP21 0130,False
2,Generator,1,Generator objects,60,Rating Factor,Maximum dispatchable capacity of each unit expressed as a percentage of [Max Capacity],CAISOIRP21 0130,False
2,Generator,1,Generator objects,61,Min Up Time,Minimum number of hours a unit must be run after being started,CAISOIRP21 0130,True
2,Generator,1,Generator objects,62,Min Down Time,Minimum number of hours a unit must be off after being shut down,CAISOIRP21 0130,True
2,Generator,1,Generator objects,63,Max Up Time,Maximum number of hours a unit can be run after being started,CAISOIRP21 0130,True
2,Generator,1,Generator objects,64,Must-Run Units,Number of must-run units,CAISOIRP21 0130,False
2,Generator,1,Generator objects,67,Min Load,Minimum level of station load (must run/run of river),CAISOIRP21 0130,False
2,Generator,1,Generator objects,69,Max Load,Maximum level of unit load (unit may provide spinning reserve with remainder of spare capacity),CAISOIRP21 0130,False
2,Generator,1,Generator objects,70,Commit,Number of units that should be committed,CAISOIRP21 0130,True
2,Generator,1,Generator objects,71,Fuel Mix Penalty,Penalty applied to violations of fuel mixing constraints,CAISOIRP21 0130,False
2,Generator,1,Generator objects,74,Max Ramp Up,Maximum ramp up rate,CAISOIRP21 0130,True
2,Generator,1,Generator objects,76,Max Ramp Down,Maximum ramp down rate,CAISOIRP21 0130,True
2,Generator,1,Generator objects,78,Rough Running Point,Start point of rough running range,CAISOIRP21 0130,False
2,Generator,1,Generator objects,79,Rough Running Range,Length of rough running range (must be paired with Rough Running Point),CAISOIRP21 0130,False
2,Generator,1,Generator objects,80,Regulation Point,Start point of regulation reserve range,CAISOIRP21 0130,False
2,Generator,1,Generator objects,81,Regulation Range,Length of regulation reserve range (must be paired with Regulation Point),CAISOIRP21 0130,False
