class_id,class_name,collection_id,collection_description,property_id,property,property_description,filename,used
2,Generator,1,Generator objects,1,Must Report,If the generator must be reported even if it is out-of-service,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,5,Formulate Non-convex,Controls when integers are used to enforce clearing of marginal efficiency tranches in order.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,6,Min Down Time Mode,Controls how [Min Down Time] is applied after outages.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,7,Forced Outage Rate Denominator,Denominator for Forced Outage Rate calculations,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,8,Repair Time Distribution,"Distribution used to generate repair times (Auto,Constant,Uniform,Triangular,Exponential,Weibull,Lognormal,SEV,LEV)",European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,9,Fixed Load Method,Method of interpreting zero values of the [Fixed Load] property.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,10,Price Setting,Flag if the generator can set price,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,11,Offer Quantity Format,Format for [Offer Quantity] and [Offer Price],European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,12,Offers Must Clear in Order,Flag to control ordering of clearing of user-defined generator offers.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,13,Unit Commitment Optimality,Unit commitment integerization scheme for the generator.,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,15,Include in Rounded Relaxation Merit Order,Flag if Generator is included in the Region merit order for Rounded Relaxation unit commitment.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,16,Start Profile Range,Maximum range for [Start Profile],European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,17,Expansion Optimality,Expansion planning integerization scheme.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,19,Energy Limit Decomposition Method,Method used to decompose generator energy limits from MT to ST Schedule,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,20,Include in Uplift,If this generator's costs are included in the uplift calculations.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,21,Include in Capacity Payments,If this generator receives capacity payments.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,24,End Effects Method,Method used to value or constrain end-of-period gas volumes.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,26,Decomposition Method,Method used to pass the optimal storage trajectory from one simulation phase to the next.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,32,Enforce Bounds,If the storage bounds are enforced.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,33,Is Strategic,If the generator's capacity acts strategically,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,236,Project Start Date,"Start date of generation project, for expansion planning.",European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,237,Commission Date,Date the generator was commissioned for use with [Technical Life],European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,2,Random Number Seed,Random number seed assigned to the generator for the generation of outages,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,4,Max Heat Rate Tranches,Maximum number of tranches in the fuel function piecewise linear approximation.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,14,Rounding Up Threshold,Threshold at which non-integers are rounded up.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,23,Internal Volume Scalar,Storage volume scaling factor used internal to the mathematical program.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,31,Decomposition Bound Penalty,Penalty applied to violation of storage bounds when the decomposition implies possible violations.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,34,Units,Number of installed units,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,36,Min Stable Level,Minimum stable generation level,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,37,Min Stable Factor,Minimum stable generation level as a proportion of [Max Capacity],European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,39,Load Point,Load point for use with multi-point heat rate.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,48,Start Cost,Cost of starting a unit,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,49,Start Cost Time,Incremental cooling time over which the corresponding Start Cost applies,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,50,Run Up Rate,Ramp rate that applies while running the unit up from zero to [Min Stable Level].,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,53,Shutdown Cost,Cost of shutting down a unit,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,54,Run Down Rate,Ramp rate that applies while running the unit down from [Min Stable Level] to zero.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,58,Rating Factor,Maximum dispatchable capacity of each unit expressed as a percentage of [Max Capacity],European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,59,Min Up Time,Minimum number of hours a unit must be run after being started,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,60,Min Down Time,Minimum number of hours a unit must be off after being shut down,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,61,Max Up Time,Maximum number of hours a unit can be run after being started,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,62,Must-Run Units,Number of must-run units,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,65,Min Load,Minimum level of station load (must run/run of river),European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,67,Max Load,Maximum level of unit load (unit may provide spinning reserve with remainder of spare capacity),European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,68,Commit,Number of units that should be committed,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,69,Fuel Mix Penalty,Penalty applied to violations of fuel mixing constraints,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,72,Max Ramp Up,Maximum ramp up rate,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,74,Max Ramp Down,Maximum ramp down rate,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,76,Rough Running Point,Start point of rough running range,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,77,Rough Running Range,Length of rough running range (must be paired with Rough Running Point),European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,78,Regulation Point,Start point of regulation reserve range,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,79,Regulation Range,Length of regulation reserve range (must be paired with Regulation Point),European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,80,Max Energy,Maximum energy,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,81,Max Energy Hour,Maximum energy in hour,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,82,Max Energy Day,Maximum energy in day,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,83,Max Energy Week,Maximum energy in week,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,84,Max Energy Month,Maximum energy in month,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,85,Max Energy Year,Maximum energy in year,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,86,Min Energy,Minimum energy,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,87,Min Energy Hour,Minimum energy in hour,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,88,Min Energy Day,Minimum energy in day,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,89,Min Energy Week,Minimum energy in week,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,90,Min Energy Month,Minimum energy in month,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,91,Min Energy Year,Minimum energy in year,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,92,Max Capacity Factor,Maximum capacity factor in the interval,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,93,Max Capacity Factor Hour,Maximum capacity factor in hour,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,94,Max Capacity Factor Day,Maximum capacity factor in day,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,95,Max Capacity Factor Week,Maximum capacity factor in week,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,96,Max Capacity Factor Month,Maximum capacity factor in month,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,97,Max Capacity Factor Year,Maximum capacity factor in year,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,98,Min Capacity Factor,Minimum capacity factor in the interval,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,99,Min Capacity Factor Hour,Minimum capacity factor in hour,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,100,Min Capacity Factor Day,Minimum capacity factor in day,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,101,Min Capacity Factor Week,Minimum capacity factor in week,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,102,Min Capacity Factor Month,Minimum capacity factor in month,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,103,Min Capacity Factor Year,Minimum capacity factor in year,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,106,Max Starts,Maximum number of starts allowed,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,107,Max Starts Hour,Maximum number of starts allowed in a hour,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,108,Max Starts Day,Maximum number of starts allowed in a day,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,109,Max Starts Week,Maximum number of starts allowed in a week,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,110,Max Starts Month,Maximum number of starts allowed in a month,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,111,Max Starts Year,Maximum number of starts allowed in a year,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,113,Energy Scalar,Scalar applied to generator energy limits and energy implied by capacity factor constraints,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,114,Aux Fixed,Fixed auxiliary usage per installed unit,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,115,Aux Base,Auxiliary use per unit committed,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,116,Aux Incr,Auxiliary use per unit of generation,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,117,Marginal Loss Factor,Transmission marginal loss factor (MLF or TLF),European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,119,Unit Commitment Non-anticipativity Time,Window of time over which to enforce non-anticipativity constraints in scenario-wise decomposition,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,121,Pump Unit Commitment Non-anticipativity Time,Window of time over which to enforce non-anticipativity constraints in scenario-wise decomposition,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,123,Generation Non-anticipativity Time,Window of time over which to enforce non-anticipativity constraints in scenario-wise decomposition,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,125,Pump Load Non-anticipativity Time,Window of time over which to enforce non-anticipativity constraints in scenario-wise decomposition,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,130,Pump Efficiency,Efficiency of pumping,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,131,Pump Load,Load drawn by a unit in pumping mode,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,132,Pump Units,Number of pump units,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,133,Min Pump Load,Minimum unit load while pumping,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,134,Must Pump Units,Number of pump units that must be running in pump mode,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,135,Max Units Pumping,Maximum number of units allowed to be running in pump mode.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,139,Min Pump Time,Minimum number of hours a unit must be run in pump mode after being started,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,140,Min Pump Down Time,Minimum number of hours a unit must be off after being shut down from pump mode,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,142,Sync Cond Units,Maximum number of synchronous condenser units,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,143,Must-run Sync Cond Units,Number of must-run synchronous condenser units,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,144,Sync Cond Load,Load drawn by a unit in synchronous condenser mode,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,147,Initial Generation,Generation at time zero,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,148,Initial Units Generating,Number of units generating at time zero,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,149,Initial Hours Up,Hours the unit has been up for at time zero,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,150,Initial Hours Down,Hours the unit has been down for at time zero,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,151,Initial Pumping,Generator pump load at time zero,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,152,Initial Units Pumping,Number of units pumping at time zero,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,153,Last Start State,Number of hours the unit had been down before the last start,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,168,Opening Heat,Initial heat in the storage,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,171,Max Heat Withdrawal,Maximum amount of heat that can be withdrawn from the storage,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,172,Max Heat Withdrawal Hour,Maximum amount of heat that can be withdrawn from the storage in a hour,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,173,Max Heat Withdrawal Day,Maximum amount of heat that can be withdrawn from the storage in a day,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,174,Max Heat Withdrawal Week,Maximum amount of heat that can be withdrawn from the storage in a week,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,175,Max Heat Withdrawal Month,Maximum amount of heat that can be withdrawn from the storage in a month,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,176,Max Heat Withdrawal Year,Maximum amount of heat that can be withdrawn from the storage in a year,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,177,Max Heat Injection,Maximum amount of heat that can be injected into the storage,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,178,Max Heat Injection Hour,Maximum amount of heat that can be injected into the storage in a hour,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,179,Max Heat Injection Day,Maximum amount of heat that can be injected into the storage in a day,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,180,Max Heat Injection Week,Maximum amount of heat that can be injected into the storage in a week,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,181,Max Heat Injection Month,Maximum amount of heat that can be injected into the storage in a month,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,182,Max Heat Injection Year,Maximum amount of heat that can be injected into the storage in a year,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,183,Min Heat Withdrawal,Amount of heat that must be withdrawn from storage,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,184,Min Heat Withdrawal Hour,Amount of heat that must be withdrawn from storage each hour,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,185,Min Heat Withdrawal Day,Amount of heat that must be withdrawn from storage each day,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,186,Min Heat Withdrawal Week,Amount of heat that must be withdrawn from storage each week,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,187,Min Heat Withdrawal Month,Amount of heat that must be withdrawn from storage each month,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,188,Min Heat Withdrawal Year,Amount of heat that must be withdrawn from storage each year,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,189,Min Heat Injection,Amount of heat that must be injected into the storage,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,190,Min Heat Injection Hour,Amount of heat that must be injected into the storage each hour,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,191,Min Heat Injection Day,Amount of heat that must be injected into the storage each day,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,192,Min Heat Injection Week,Amount of heat that must be injected into the storage each week,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,193,Min Heat Injection Month,Amount of heat that must be injected into the storage each month,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,194,Min Heat Injection Year,Amount of heat that must be injected into the storage each year,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,221,Units Out,Number of units out of service,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,222,Maintenance Rate,Maintenance rate,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,223,Maintenance Frequency,Frequency of maintenance outages in an annual time frame,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,224,Forced Outage Rate,Forced outage rate,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,227,Initial Operating Hours,Hours the unit has been operating since the last forced outage,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,228,Mean Time to Repair,Mean time to repair,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,229,Min Time To Repair,Minimum time to repair,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,230,Max Time To Repair,Maximum time to repair,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,235,Lead Time,Number of years after which the expansion project can begin,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,238,Technical Life,Technical lifetime of the unit,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,239,WACC,Weighted average cost of capital,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,240,Economic Life,Economic life of the unit (period over which fixed costs are recovered).,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,241,Max Units Built,Maximum number of units automatically constructed in aggregate over the planning horizon,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,242,Max Units Retired,Maximum number of units automatically retired in aggregate over the planning horizon,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,243,Min Units Built,Minimum number of units automatically constructed in aggregate over the planning horizon,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,244,Min Units Retired,Minimum number of units automatically retired in aggregate over the planning horizon,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,245,Max Units Built in Year,Maximum number of units automatically constructed in any single year of the planning horizon,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,246,Max Units Retired in Year,Maximum number of units automatically retired in any single year of the planning horizon,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,247,Min Units Built in Year,Minimum number of units automatically constructed in any single year of the planning horizon,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,248,Min Units Retired in Year,Minimum number of units automatically retired in any single year of the planning horizon,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,249,Build Set Size,Expansion must occur in sets of this many units where zero indicates any set size,European Integrated Power & Gas Model,False
2,Generator,131,set of generators that produce the emission,1551,Removal Rate,Proportion of emissions removed (scrubbed),European Integrated Power & Gas Model,False
2,Generator,135,set of generators the abatement technology is connected to,1563,Generation Participation Factor,Proportion of generator emissions that feed into the abatement technology,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1576,Max Response,Maximum reserve response,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1577,Max Sync Cond Response,Maximum synchronous condenser reserve response,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1578,Max Pump Response,Maximum dispatchable pump load reserve response,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1579,Max Replacement,Maximum replacement (non-spinning) reserve capability,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1580,Max Response Factor,Maximum reserve response as a proportion of generation capacity,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1581,Max Sync Cond Response Factor,Maximum synchronous condenser reserve response as a proportion of generation capacity,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1582,Max Pump Response Factor,Maximum dispatchable pump load reserve response as a proportion of pump load,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1583,Max Replacement Factor,Maximum replacement (non-spinning) reserve capability as a proportion of generation capacity,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1584,Min Provision,Minimum reserve provision when generator is available,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1585,Min Spinning Provision,Minimum spinning reserve provision when units are generating,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1586,Min Regulation Provision,Minimum regulation reserve provision when units are in the regulation range,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1587,Min Replacement Provision,Minimum replacement reserve provision when units are off-line,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1588,Effectiveness,Estimated reserve effectiveness (MW/MW),European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1589,Response Ratio,Ratio that converts energy ramping to units comparable to reserve ramping units,European Integrated Power & Gas Model,False
2,Generator,147,set of generators that provide the reserve,1590,Offer Quantity,Reserve offer quantity in offer band,European Integrated Power & Gas Model,True
2,Generator,147,set of generators that provide the reserve,1594,Replacement Offer Quantity,Replacement reserve offer quantity in offer band,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,3,Dispatch Period,Frequency of generator dispatch decisions,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,22,Balance Period,Frequency of storage balance,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,18,Declining Depreciation Balance,Balance applied to declining depreciation method,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,25,Recycle Penalty,Penalty for violating the recycling constraint.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,27,Decomposition Penalty a,Decomposition storage target penalty function 'a' term.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,28,Decomposition Penalty b,Decomposition storage target penalty function 'b' term.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,29,Decomposition Penalty c,Decomposition storage target penalty function 'c' term.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,30,Decomposition Penalty x,Decomposition storage target penalty function 'x' term.,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,35,Max Capacity,Maximum generating capacity of each unit,European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,38,Fuel Price,Fuel price (when not using Fuels collection),European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,40,Heat Rate,Average heat rate (total fuel divided by total generation),European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,41,Heat Rate Base,Constant term in fuel use function (no-load cost),European Integrated Power & Gas Model,True
2,Generator,1,Generator objects,42,Heat Rate Incr,First-order polynomial term in unit fuel use function (marginal heat rate),European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,43,Heat Rate Incr2,Second-order polynomial term in unit fuel use function,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,44,Heat Rate Incr3,Third-order polynomial term in unit fuel use function,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,45,VO&M Charge,Variable operation and maintenance charge,European Integrated Power & Gas Model,False
2,Generator,1,Generator objects,46,UoS Charge,Use of system charge for generation,European Integrated Power & Gas Model,False
