Generator,eff_base_only,eff_with_incr
ADPPV1,1.0,1.0
AGLHAL01,1.4715975613618695,0.24653109000287132
AGLHAL02,1.4715975613618695,0.24653109000287132
AGLHAL03,1.6156428253046982,0.2502691265366857
AGLHAL04,1.323659182177343,0.2420000000703066
AGLHAL05,1.3236591821945891,0.24200000007088301
AGLHAL06,1.1482344713013304,0.23542417229423182
AGLHAL07,1.7735728946077112,0.2537695224410297
AGLHAL08,2.200664896801847,0.2610176841576409
AGLHAL09,1.2550250024512208,0.23960435777683567
AGLHAL10,0.8789924257700947,0.22151258680755376
AGLHAL11,1.0341087362088481,0.23021496777365666
AGLHAL12,1.2501225610353957,0.23942510254656563
AGLHALRE,1.406860616537796,0.2446451823120673
AGLSOM01,1.3236591818910564,0.24200000006073727
AGLSOM02,1.3236591818910564,0.24200000006073727
AGLSOM03,1.3236591818910564,0.24200000006073727
AGLSOM04,1.3236591818910564,0.24200000006073727
ANGAS1,1.0,0.28180000006794514
ANGAS2,1.0,0.2818000000679451
Aramara Solar Farm,1.0,1.0
ARWF1,1.0,1.0
AVLSF1,1.0,1.0
BALDHWF1,1.0,1.0
BANGOWF1,1.0,1.0
BANGOWF2,1.0,1.0
Banksia Solar Farm,1.0,1.0
BANN1,1.0,1.0
BARCALDN,1.3236591827112287,0.2830000000913164
BARRON-1,1.0,1.0
BARRON-2,1.0,1.0
BASTYAN,1.0,1.0
BBTHREE1,1.3236591826783446,0.29900000001897814
BBTHREE2,1.3236591826783446,0.29900000001897814
BBTHREE3,1.3236591826783446,0.29900000001897814
BDL01,1.3236591819276038,0.34299999997107405
BDL02,1.3236591819276038,0.34299999997107405
BERYLSF1,1.0,1.0
BIPS1_01,1.0,0.45600000000608
BIPS1_02,1.0,0.45600000000608
BIPS1_03,1.0,0.45600000000608
BIPS1_04,1.0,0.45600000000608
BIPS1_05,1.0,0.45600000000608
BIPS1_06,1.0,0.45600000000608
BIPS1_07,1.0,0.45600000000608
BIPS1_08,1.0,0.45600000000608
BIPS1_09,1.0,0.45600000000608
BIPS1_10,1.0,0.45600000000608
BIPS1_11,1.0,0.45600000000608
BIPS1_12,1.0,0.45600000000608
BLOWERNG,1.0,1.0
BLUEGSF1,1.0,1.0
BLUFF1,1.0,1.0
BNGSF1,1.0,1.0
BNGSF2,1.0,1.0
BOCORWF1,1.0,1.0
BODWF1,1.0,1.0
BOGONG1,1.0,1.0
BOGONG2,1.0,1.0
BOLIVPS1_1,1.3236591822201,0.3532875367854763
BOLIVPS1_2,1.3236591822201,0.3532875367854763
BOLIVPS1_3,1.3236591822201,0.3532875367854763
BOLIVPS1_4,1.3236591822201,0.3532875367854763
BOMENSF1,1.0,1.0
BOWWPV1,1.0,1.0
BRAEMAR1,1.4812376563528638,0.31056289668659787
BRAEMAR2,1.4812376563528638,0.31056289668659787
BRAEMAR3,1.4812376563528638,0.31056289668659787
BRAEMAR5,1.3236591821789978,0.30300000000729044
BRAEMAR6,1.3236591821789978,0.30300000000729044
BRAEMAR7,1.3236591821789978,0.30300000000729044
BROKENH1,1.0,1.0
BRYB1WF1,1.0,1.0
BRYB2WF2,1.0,1.0
BULGANA1,1.0,1.0
BW01,5.65149136577708,0.380999999985395
BW02,5.8655630084201515,0.38193973668725256
BW03,5.8655630084201515,0.38193973668725256
BW04,5.8655630084201515,0.38193973668725256
CA111-1,1.0,1.0
CA112-2,1.0,1.0
CALL_B_1,5.651491365777081,0.39299999997904
CALL_B_2,5.651491365777081,0.39299999997904
CAPTL_WF,1.0,1.0
CATHROCK,1.0,1.0
